Title,Link,Categories,Organizer,Location,Date,URL,Description,Start Date,End Date,Location Name,Location Country,Performer Name,Performer URL
[REMINDER]HKUST x MTR Joint Lab: Call for Proposal 2023,https://calendar.hkust.edu.hk/events/reminderhkust-x-mtr-joint-lab-call-proposal-2023,Other Format,Organized by GREAT Smart Cities Institute,,8  May  2023 to 5  June  2023,https://calendar.hkust.edu.hk/events/reminderhkust-x-mtr-joint-lab-call-proposal-2023,"The Hong Kong University of Science and Technology (HKUST) has set up a joint research laboratory with the Mass Transit Railway (MTR), i.e. the HKUST-MTR Joint Lab, on smart mobility and community development. We are inviting research proposals on four main topics for this year, namely: (a) service disruption, (b) passenger path generation within MTR stations, (c) quantifying carbon footprint in railway project and (d) inspection and maintenance challenges in MTR premises. The selected project teams will work closely with MTR on real case studies with data and technical advice/support to be provided by MTR.

 

Please click here for the details of Call for Proposals and Application form. 

 

Full proposal submission deadline: 5 June 2023",2023-05-08,2023-06-05,,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Chun Wo Innovation Student Awards – Engineers for a Sustainable Tomorrow,https://calendar.hkust.edu.hk/events/chun-wo-innovation-student-awards-engineers-sustainable-tomorrow,Competition,Promoted by HKUST Energy Institute on behalf of Chun Wo Development Holdings Limited,,11  November  2022 to 12  July  2023,https://calendar.hkust.edu.hk/events/chun-wo-innovation-student-awards-engineers-sustainable-tomorrow,"Description:

The Chun Wo Innovation Student Awards (CWISA) is an initiative that aims to encourage university students from all disciplines to use an engineering approach to address challenges revolving around urban infrastructure, technology, and social development. These pillars are crucial in determining the future transformation of a city as well as people’s livelihood.

Eligibility

The Award is open to all full-time undergraduate and post-graduate students from any of the tertiary education institutions in Hong Kong and the Greater Bay Area (GBA).
	Students are encouraged to form groups with a maximum of 8 members (at least one student studying in engineering related faculties).
Event website: https://www.cwisa.com",2022-11-11,2023-07-12,,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
James Dyson Award 2023,https://calendar.hkust.edu.hk/events/james-dyson-award-2023,Competition,Promoted by Center for Global & Community Engagement on behalf of The James Dyson Award,,17  March  2023 to 19  July  2023,https://calendar.hkust.edu.hk/events/james-dyson-award-2023,"The 2023 James Dyson Award is now open for entries, calling for creative inventors in Hong Kong to submit an invention that solves a problem! 

The James Dyson Award is an international design competition running by the James Dyson Foundation – an engineering-education charity funded by Dyson profits. The Award holds annually with a simple brief of designing something that solves a problem. This problem may be a frustration that we all face in daily life, or a global issue. The important thing is that the solution is effective and demonstrates considered design thinking.
 ",2023-03-17,2023-07-19,,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Asia’s Economic Outlook: Still Resilient? — A Conversation with HKUST Business School,https://calendar.hkust.edu.hk/events/asias-economic-outlook-still-resilient-conversation-hkust-business-school,"Seminar, Lecture, Talk",Organized by HKUST Business School - Communications and External Affairs,Online webinar via Zoom,23  May  2023,https://calendar.hkust.edu.hk/events/asias-economic-outlook-still-resilient-conversation-hkust-business-school,"The global economy is entering a perilous new phase as turmoil in the financial system heaps even more pressure on a world already buffeted by high inflation, rising interest rates and war in Ukraine. How much impact would the global banking turmoil have on Asia’s economic outlook? The world is counting on China’s economic recovery, but just how strong would its rebound be? Will the US-China relationship continue to unravel, and how would the US’s strict export control measures affect China and other nations in the region? At this WSJ Future Leaders Webinar, join experts at HKUST and The Wall Street Journal (WSJ) for a timely conversation. The event is organized by WSJ and supported by HKUST Business School.",2023-05-23,2023-05-23,Online webinar via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
HKUST Unicorn Day,https://calendar.hkust.edu.hk/events/hkust-unicorn-day,"Conference, Symposium, Forum, Exhibition, Fair, Fundraising, University Event & Ceremony",Organized by Office of Knowledge Transfer,"Shaw Auditorium, HKUST",23  May  2023,https://calendar.hkust.edu.hk/events/hkust-unicorn-day,"The HKUST Unicorn Day is one of our signature events, bringing like-mind innovators, potential investors and industry stakeholders together to exchange insights and explore collaboration opportunities.

During the Unicorn Day, close to 30 fast-growing technology companies and nearly 60 high-potential startups founded by HKUST alumni and community will showcase their solutions, a guided Startup Showcase Tour and concurrent Startup Pitching Sessions will be held to demonstrate HKUST’s commitment to knowledge transfer and the development of featured technologies.

Join us and register now!

 

Click HERE to visit HKUST Unicorn Day event website for more details.",2023-05-23,2023-05-23,"['Shaw Auditorium', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Department of Chemistry - PhD Student Seminar - Breaking New Ground in NOx Emission Control: Novel Catalyst Systems in NH3-Selective Catalytic Reduction,https://calendar.hkust.edu.hk/events/department-chemistry-phd-student-seminar-breaking-new-ground-nox-emission-control-novel,"Seminar, Lecture, Talk",Organized by Department of Chemistry,"Room 1410 (Lifts 25-26), 1/F, Academic Building",23  May  2023,https://calendar.hkust.edu.hk/events/department-chemistry-phd-student-seminar-breaking-new-ground-nox-emission-control-novel,"Student: Mr. Xinnan WANGDepartment: Department of Chemistry, HKUSTSupervisor: Professor Zhihong GUO and Professor Ben Zhong TANG",2023-05-23,2023-05-23,"['Room 1410 (Lifts 25-26)', '1/F', 'Academic Building']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Unpacking Profit and Pride in EMI Higher Education,https://calendar.hkust.edu.hk/events/unpacking-profit-and-pride-emi-higher-education,"Seminar, Lecture, Talk",Organized by Division of Humanities,"Room 4582, (Lift no. 27-28)",23  May  2023,https://calendar.hkust.edu.hk/events/unpacking-profit-and-pride-emi-higher-education,"Abstract:In a neoliberal era marked by a global expansion of higher education, many Western based universities aggressively opened EMI satellite campuses in Asia and the Middle East. Inspired by profit and the need to chase the foreign tuition dollar, such expansionary efforts have met with different degrees of success. However, as world economic growth starts to recede and nationalist sentiments rise, we have witnessed a curtailing, and in some cases withdrawal, of these transnational endeavours. Adopting an ecological approach to better understand this educational phenomenon, I investigate how English monolingual biases and an emergent interest and pride in local languages within several countries that have hosted joint venture foreign campuses have been negotiated. Specifically, I explore the ways in which different social actors – students, faculty and administrators – engage in complex identity work that often results in individuals being sorted and sieved according to the various levels of capital that they possess. These actors’ strategic policy and pedagogical decisions will also be unpacked against mounting internal pressures by governments to raise the standards of local universities in the face of stiff global university ranking competition.   Biography:Peter I. De Costa is an Associate Professor in the Department of Linguistics, Languages & Cultures and the Department of Teacher Education at Michigan State University.  As a critical applied linguist, his research areas include emotions, identity, ideology and ethics in language learning, language teaching, and language policy. His ecologically- and social justice-oriented work looks at the intersection between second language acquisition (SLA), second language teacher education (SLTE), and language policy. He is the co-editor of TESOL Quarterly and the President Elect of the American Association for Applied Linguistics (AAAL).  ",2023-05-23,2023-05-23,"['Room 4582', '(Lift no. 27-28)']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
QST Seminar  - Additive Manufacturing at the Nanoscale,https://calendar.hkust.edu.hk/events/qst-seminar-additive-manufacturing-nanoscale,"Seminar, Lecture, Talk","Organized by Center of Quantum Science and Technology, HKUST(GZ); Advacend Material Thrust, Function Hub, HKUST(GZ)",W1-102,23  May  2023,https://calendar.hkust.edu.hk/events/qst-seminar-additive-manufacturing-nanoscale,"The performance of semiconductor integrated circuits can be improved through 3D integration of additional layers in the post-Moore era. However, 3D integration of optoelectronics remains a technological challenge. 3D printing has been emerging as a disruptive approach to manufacturing due to its simple, design-friendly manner. Over the past decades, scientists and engineers have continually developed methods for a diverse selection of materials, high precision and throughput that are essential for 3D optoelectronic devices, but so far this remains a great challenge. Here, I will present high-performance 3D nanoprinting techniques for advanced 3D optoelectronics. The research strategy consists of three steps: (1) development of advanced 3D printing techniques for functional semiconductor materials, (2) fundamental understanding of underlying nanodynamics (mass and energy transport and distribution at nanometer regime) for improvement of spatial resolution, (3) development of scalable printheads for wafer-scale nanoprinting. This research could enable a true manufacturing platform for next-generation 3D optoelectronic devices, making a great impact on interdisciplinary manufacturing and materials science fields such as stretchable electronics, photonics, and biomedical engineering.",2023-05-23,2023-05-23,W1-102,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
The AWS Summit Hong Kong  - AWS Gameday: F1 League 2023,https://calendar.hkust.edu.hk/events/aws-summit-hong-kong-aws-gameday-f1-league-2023,Competition,Promoted by Center for Global & Community Engagement on behalf of Amazon Web Services (AWS),"Convention Hall & 4/F, Hong Kong Convention and Exhibition Centre, Wan Chai",23  May  2023,https://calendar.hkust.edu.hk/events/aws-summit-hong-kong-aws-gameday-f1-league-2023,"AWS GameDay: F1 League 2023 is an interactive team-based learning exercise designed to allow participants to put their AWS skills to the test in a real-world, gamified, risk-free environment. Our fictitious F1 team, Unicorn.Rentals.Racing, is looking to use data to enhance the performance of drivers, cars and pit crews. With sample data from Formula 1®, your team (of 2-4 attendees) will have 90 minutes to put your skills to the test and ensure Unicorn.Rentals.Racing is ready to leverage that data and provide essential racing tooling to the team! Participants are required to bring their own laptops.",2023-05-23,2023-05-23,"['Convention Hall & 4/F', 'Hong Kong Convention and Exhibition Centre', 'Wan Chai']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
"Physics Department - Topological Phase Engineering, from Electronics to Phononics [Updated - Time changed from 14:00 - 15:30 to 15:00 to 16:30]",https://calendar.hkust.edu.hk/events/physics-department-topological-phase-engineering-electronics-phononics-updated-time-changed,"Seminar, Lecture, Talk",Organized by Department of Physics,"Room 1410, Academic Building, HKUST (Lifts 25-26)",24  May  2023,https://calendar.hkust.edu.hk/events/physics-department-topological-phase-engineering-electronics-phononics-updated-time-changed,,2023-05-24,2023-05-24,"['Room 1410', 'Academic Building', 'HKUST (Lifts 25-26)']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Economics Webinar  - Trade-Policy Dynamics: Evidence from 60 Years of U.S.-China Trade,https://calendar.hkust.edu.hk/events/economics-webinar-trade-policy-dynamics-evidence-60-years-us-china-trade,"Seminar, Lecture, Talk",Organized by Department of Economics,Online via Zoom,24  May  2023,https://calendar.hkust.edu.hk/events/economics-webinar-trade-policy-dynamics-evidence-60-years-us-china-trade,"We study the growth of Chinese exports to the United States, from autarky during 1950–1970 to 15 percent of overall U.S. imports in 2008, taking advantage of the rich heterogeneity in trade policy and trade growth across products during this period. Central to our analysis is an accounting for the dynamics of trade flows, observed trade policy, and expectations about future policy. In our empirical analysis, we estimate the dynamics of the elasticity of Chinese exports to (i) past tariff changes and (ii) the risk of future tariff hikes. We find Chinese exports responded slowly to the tariff changes that occurred when China was granted most-favored-nation status in 1980, and that policy uncertainty was more important in the immediate aftermath of this liberalization than in the lead-up to China’s 2001 accession to the World Trade Organization. However, separately identifying these two effects using data alone is difficult. In our quantitative analysis, we disentangle these effects by using a structural model to estimate a path of trade-policy expectations. We find the 1980 reform was largely a surprise and initially had a high probability of being reversed. The likelihood of reversal dropped considerably during the mid 1980s but changed little throughout the late 1990s and early 2000s despite China’s accession to the World Trade Organization in 2001.",2023-05-24,2023-05-24,Online via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Economics Webinar  - Unique Stable Matchings,https://calendar.hkust.edu.hk/events/economics-webinar-unique-stable-matchings,"Seminar, Lecture, Talk",Organized by Department of Economics,Online via Zoom,24  May  2023,https://calendar.hkust.edu.hk/events/economics-webinar-unique-stable-matchings,"In this paper we show that a one-to-one two-sided matching market possesses a unique stable matching if and only if preferences on the normal form (Irving and Leather, 1986; Balinski and Ratier, 1997) are acyclic (Chung, 2000) if and only if the normal form is precisely the unique stable matching and nothing more.",2023-05-24,2023-05-24,Online via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
"IAS Program on Inverse Problems, Imaging and Partial Differential Equations - Quantum Numerical Analysis",https://calendar.hkust.edu.hk/events/ias-program-inverse-problems-imaging-and-partial-differential-equations-quantum-numerical,"Seminar, Lecture, Talk",Organized by HKUST Jockey Club Institute for Advanced Study,Online via Zoom,24  May  2023,https://calendar.hkust.edu.hk/events/ias-program-inverse-problems-imaging-and-partial-differential-equations-quantum-numerical,"For Attendees' Attention
This talk will be held online via Zoom. To attend, please join the Zoom meeting at https://hkust.zoom.us/j/93414564699 (Meeting ID: 934 1456 4699 / Passcode: iasip2023).Abstract
Recent developments in quantum computers have inspired rapid progress in developing quantum algorithms for scientific computing, including examples in numerical linear algebra, partial differential equations, and machine learning. However, the noise of quantum devices and quantum measurements pose new questions in the area of numerical analysis of quantum algorithms. In this talk, the speaker will discuss two of his recent works in this direction: (1) new low-depth algorithms for quantum phase estimation for early fault-tolerant quantum devices and (2) a new robust algorithm for computing phase factors in forming general functions of quantum operators.About the Speaker
Prof. Ying Lexing received his BS in Computer Science and Applied Mathematics from Shanghai Jiao Tong University in 1998. He then received his MS and PhD from the Courant Institute of Mathematical Sciences at New York University in 2000 and 2004 respectively. Before joining Stanford University in 2012, he was a Postdoctoral Scholar at the California Institute of Technology and a Professor at the University of Texas at Austin. He is currently a Professor of Mathematics at Stanford University, where he is also a member of the Institute for Computational and Mathematical Engineering.
Prof. Ying specializes in scientific computing and numerical analysis. In particular, his research concerns about the design of numerical algorithms for problems in scientific computing. The awards he has received include a Sloan Research Fellowship in 2007, an US National Science Foundation Career Award in 2009, the James H. Wilkinson Prize in Numerical Analysis and Scientific Computing in 2013 and a Morningside Silver Medal of Applied Mathematics in 2016. He was an invited speaker of the 2022 International Congress of Mathematicians.About the Program
For more information, please refer to the program website at https://iasprogram.hkust.edu.hk/inverseproblems/.",2023-05-24,2023-05-24,Online via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
