course code,course title,ATTRIBUTES,EXCLUSION,DESCRIPTION,PRE-REQUISITE,CO-REQUISITE,VECTOR,PREVIOUS CODE,INTENDEDLEARNINGOUTCOMES,CO-LIST WITH,ALTERNATE CODE(S)
ACCT 5430,ACCT 5430 - Tax and Business Strategy (2 units),,,This course provides students with the framework of strategic tax planning. Students learn how to integrate the role of tax in various corporate decision-making.,ACCT 5150,,[2-0-0:2],,"On successful completion of the course, students will be able to:1.Apply the framework of strategic tax planning.2.Analyze how taxes impact choices of organizational forms.3.Evaluate the role of tax in corporate investment and financing decisions.4.Analyze cross-border tax planning opportunities for multinationals.5.Explain the ethics of tax planning.",,
ACCT 5510,ACCT 5510 - Auditing (2 units),,,"It covers the relevant principles, objectives and ethical requirements of audit and assurance services; identifies the audit process from client acceptance, design of audit procedures and express an appropriate audit conclusion based on the audit evidence obtained. Topics include: audit planning, audit evidence and documentation, internal control, completion of audit, audit opinion and reporting, professional ethics, rights and obligation of auditors.",,,[2-0-0:2],,"On successful completion of the course, students will be able to:1.Describe the auditing profession, and the regulatory, legal and reporting framework of auditing.2.Recognize the basic principles, objectives and ethical requirements of audit and assurance services.3.Identify the audit process from client acceptance, design of audit procedures and recommend an appropriate audit conclusion based on the audit evidence obtained.4.Assess risks and threats to an audit of financial statements through analytical and critical thinking.5.Communicate effectively in writing and verbally.",,
ACCT 5630,ACCT 5630 - Business Law (2 units),,,This course is designed for the study of Business Law with practical examples of the application of law in the real business world. The course materials cover  topics highly relevant to the business managers in the decision making process. The end goal is to elevate the student's level of understanding of the surrounding legal environment.,,,[2-0-0:2],ACCT 690O,"On successful completion of the course, students will be able to:1.Apply the legal knowledge studied to situations they are likely to encounter in their daily life and future careers.2.Recognize the importance of different functional areas of the law, and solve legal and business problems critically and creatively by referring to the well-established cases and ordinances.3.Recognize the importance of the law of professional negligence and duty of care on the part of the accountants and auditors, and become a responsible and capable member of the accounting profession.4.Develop selected skills like analytical and critical thinking, effective communication and team work through the group project and presentation.5.Recognize the importance of ethical responsibility, identify the ethical dilemmas, apply the ethical standards and recognize the consequences of breaching the ethical standards.6.Recognize the importance of ethical responsibility and corporate social responsibility in the context of Chinese business ethics.",,
ACCT 5640,ACCT 5640 - Company Law (2 units),,,Law relating to companies registered in Hong Kong; company formation and records; share and loan capital; management and administration; reconstructions; mergers and take-overs; liquidation and receivership.,ACCT 5630,,[2-0-0:2],,"On successful completion of the course, students will be able to:1.Explain the documents that lay down the features of a company and its internal procedures, and evaluate whether they can be altered.2.Explain the role of key personnel in the management and administration of a company, and judge their rights and obligations.3.Apply the rules in relation to company meetings.4.Explain legal considerations and apply the legal rules in raising share or loan capital.5.Explain the schemes of arrangement and apply the Codes on Takeovers and Mergers and Share Buy-backs.6.Explain the law in relation to commencement, conduct and consequences of winding up and apply the avoidance powers.7.Explain the role, structure, duties, powers and procedures of some important external bodies in relation to the work of an accountant.",,
ACCT 5720,ACCT 5720 - Advanced Data Analytics in Accounting (2 units),,,"With the foundation of ACCT 5710 Data Analytics in Accounting, this course aims to provide students with advanced and practical knowledge of applications in data analytics designed by accounting professionals and enable students to apply and understand data analytics technologies to perform audit, enhance financial reporting, and minimize risks as accounting professionals.",ACCT 5710,,[2-0-0:2],,"On successful completion of the course, students will be able to:1.Describe and apply knowledge and accounting applications on common ERP capabilities - collection, cleaning and analysis of data.2.Identify common data analytics challenges and risks in accounting issues.3.Utilize and apply accounting data analytics and its applications on modeling patterns of data, and identifying outliers and anomalies.4.Apply and evaluate accounting analytics techniques on analysis for fraudulent activities in corporations.5.Identify and incorporate accounting analytics technology and options for visualizations.6.Identify and explain accounting issues in decision making in the data age - the future of data analytics in accounting.",,
ACCT 5730,ACCT 5730 - Equity Investment with Machine Learning (2 units),[BLD] Blended learning,,"This course introduces the application of quantitative and machine learning technology in equity investing. It covers classical equity valuation theories, cutting-edge capital market research and recent development in quantitative and machine learning technology. Students will be required to apply the knowledge to develop and test equity investment strategies.",(ACCT 5100 OR ACCT 5150) AND FINA 5120,,[2-0-0:2],ACCT 6900F,"On successful completion of the course, students will be able to:1.Describe the current landscape and challenges of the asset management industry.2.Explain the philosophy, theory, and process of quantitative equity investing.3.Evaluate the performance of equity funds and investment strategies.4.Be familiar with multifactor stock-selection models.5.Identify the potential applications of machine learning technology in equity investment.6.Design and develop quantitative investment strategies.7.Conduct backtests on quantitative strategies and evaluate their performance.",,
ACCT 5801,"ACCT 5801 - Cryptocurrency, Blockchain and Their Business Applications (2 units)",,,"This course discusses cryptocurrencies (including Bitcoin, Ethereum, and others), blockchain, also known as distributed ledger technology (DLT), and their multidimensional business applications. The course provides a basic set of skills to understand cryptocurrencies and blockchain/DLT. We will also discuss the latest development in the field.",,,[2-0-0:2],,"On successful completion of the course, students will be able to:1.Describe the history of blockchain technology and its recent development.2.Explain the technical details of blockchain/distributed ledger technology including consensus mechanisms.3.Identify real-world applications of blockchain technology.4.Understand smart contracts.5.Recognize regulations on cryptocurrency.",,
ACCT 6900H,ACCT 6900H - Sustainable Finance with Business Practices (1 unit),,,"This course introduces the framework of sustainable finance and responsible investing, one of the fastest growing segments in todayâs investment/fund management industry. The course will examine various strategies to ESG investing, relevant financial products, and the measurement/disclosure of client risks. The current regulatory requirements and market trends of each aspect will be introduced.",,,[1-0-0:1],,,,
ACCT 6990,ACCT 6990 - MPhil Thesis Research (0 units),,,Master's thesis research supervised by a faculty member.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.,,,,ACCT 699,"On successful completion of the course, students will be able to:1.Demonstrate a sound grasp of the literature in their specialization.2.Apply their specialized knowledge to solve related business problems in an innovative fashion.3.Demonstrate a broad based knowledge of core business functions.4.Integrate functional knowledge to solve business problems within their area of specialization.5.Present their discipline knowledge clearly to layman.",,
ACCT 7730,ACCT 7730 - Doctoral Seminar - Research in Financial Accounting (4 units),,,"Use of empirical and analytical research methods in economics, finance, and statistics to examine important financial accounting issues.",,,[3-1-0:4],ACCT 773,"On successful completion of the course, students will be able to:1.Demonstrate a sound grasp of the literature in their specialization.2.Apply their specialized knowledge to solve related business problems in an innovative fashion.3.Demonstrate a broad based knowledge of core business functions.4.Integrate functional knowledge to solve business problems within their area of specialization.5.Present their discipline knowledge clearly to layman.",,
ACCT 7990,ACCT 7990 - Doctoral Thesis Research (0 units),,,Original and independent doctoral thesis research.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.,,,,ACCT 799,"On successful completion of the course, students will be able to:1.Demonstrate a sound grasp of the literature in their specialization.2.Apply their specialized knowledge to solve related business problems in an innovative fashion.3.Demonstrate a broad based knowledge of core business functions.4.Integrate functional knowledge to solve business problems within their area of specialization.5.Present their discipline knowledge clearly to layman.",,
AESF 5050,AESF 5050 - Fracture Behavior of Polymers (3 units),,MESF 5050,"Introduction to both fundamental and practical knowledge on the microstructure, physical and mechanical behaviors, particularly the fracture behavior and toughening mechanisms, of polymers and composites. Discussions and critiques on related research activities in the literature. Case studies to help students prepare for the industry.",,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Explain the microstructure-property relationships of polymers and select proper polymeric materialsÂ for specific engineering applications.2.Characterize polymer fracture and evaluate fracture toughness of polymers using rigorous fracture mechanics methods under various conditions.3.Explain the fundamental fractography of polymers and carry out basic failure analysis using microscopes and thermal analysis equipment.",MESF 5050,
AESF 5330,AESF 5330 - Advanced Aircraft Design (3 units),,,"Flight mission requirements, aircraft size and layout, airfoil/wing geometry, aerodynamics, engine selection, airframeâengine integration, fuselage design, electrical and hydraulic systems, landing gear arrangement, flight stability and control, structures and materials, avionics and navigation systems, human factors, safety, manufacturing processes, and cost analysis.",,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Apply the formal design and development process for aeronautical vehicles.2.Optimize aircraft/engine design and airframe-engine integration.3.Create feasible designs integrating a variety of aircraft systems and sub-systems.4.Test and verify the feasibility of aircraft designs.",,
AESF 5350,AESF 5350 - Aircraft Propulsion (3 units),,,"Propulsion cycle analysis, with emphasis on gas turbines, basic component performance and function, engine installation effects, aero-thermodynamics of steady isentropic compressible flow, shock waves, diffusers and nozzles, centrifugal compressors, axial flow compressors, combustion chambers, thermoacoustics, fuels and control, turbines, thrust augmentation.",,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Make design choices between aircraft propulsion systems based on perfonnance considerations.2.Calculate energy release, e.g. adiabatic flame temperatures, and equilibrium composition of gases at known temperatures and pressures.3.Analyze the thermodynamic performance of engine cycles and compute relevant performance parameters.4.Size jet engines using preliminary design calculations.",,
AESF 5380,AESF 5380 - Computational Fluid Dynamics (3 units),,,"Fundamental knowledge of computational fluid dynamics, specific applications of CFD to industrial and environmental flows, learn how to write a complex two-dimensional solver and some engineering applications.",,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Apply the basic theory of Computational Fluid Dynamics, including discretisation, accuracy and stability.2.Assess the impact of fluid mechanics problems commonly encountered in industrial and environmental settings.3.Construct and apply computational models, determine critical control parameters and relate them to desired outcomes.4.Use a state of the art commercial computational fluid dynamics package for numerical simulations of fluid mechanics problems.",,
AESF 5720,AESF 5720 - Aerospace Materials and Applications (3 units),,,"Advances in aerospace systems such as aircraft, spacecraft, and launch vehicles are strongly dependent on advances in materials and processing technologies. This course aims to introduce aerospace materials and their applications in different aerospace systems. It equips students regarding the selection of the materials and their applications in various systems. It attempts to cover the entire field of aerospace materials in a condensed fashion with emphasis on aerospace structures and propulsion systems applications. At the end of this course, students are expected to achieve a comprehensive idea about how to select the best available material in every case in the field of aerospace engineering.",,,[3-0-0:3],AESF 6910Q,"On successful completion of the course, students will be able to:1.Recognize the visualization of the complexity of structural components and materials of the aerospace vehicles and understand their functions.2.Apply the commonly used aerospace materials: metals and alloys, polymers, composites, and ceramics for different applications.3.Identify a variety of functional requirements with constraints (manufacturability, geometric limits, environmental aspects, etc.) to arrive at the âoptimumâ choice of structural concept and materials selection for a given weight and/or cost.4.Identify the capability to solve the real-world problems with engineering mindset.",,
AESF 6910V,AESF 6910V - Building Airport Operational Resilience (1 unit),,,"The last 10 years have seen local incidents having global impacts. We had annual extreme weather incidents that used to be classified as occurring only every once-in-50-years. These incidents include floods, droughts, wildfires, tropical cyclones, blizzards, and snowstorms. We are amid a once-in-a-century pandemic where millions have already lost their lives. We are seeing a war all but in name that is broadcasted on 24/7 news networks. All these incidents affect not just nearby countries but have global impact affecting all countries to a lesser or greater extent. These impacts are not just rocking global geopolitics, they are also tumbling our 21st century inter-connected and inter-reliant economies. One of the most gyrating industries is civil aviation, which at one point collapsed to just 05% of its former self. One lesson learned in the aviation industry is the need for all industry stakeholders to build up operational resilience. Strengthened operational resilience enables all stakeholders to meet risks and threats that can come from anywhere around the globe. This course will explore what is operational resilience, why it is important, and how to achieve it.",,,[1-0-0:1],,,,
AESF 6910W,AESF 6910W - Strategic Procurement Management in Aviation Industry (1 unit),,,"In a dynamic and turbulent world, global market competitiveness is expanding. Companies in the aviation industry are forced to enhance their capabilities or risk losing market share. Hence, many utilize procurement as one of their tools to survive in the market. However, the increased tendency of outsourcing and offshoring exposes procurement processes to ever-increasing risks. Effective procurement management for companies in the aviation industry is becoming more vital as well as difficult to attain. This course aims to provide students with an understanding of the impacts that Strategic Procurement Management has on the success and profitability of airlines and maintenance organizations in todayâs competitive business environment.",,,[1-0-0:1],,,,
AESF 6910X,AESF 6910X - Airline Marketing and People Management (1 unit),,,"Marketing and people management work hand in hand to fulfill the company vision, mission and strategy. This course covers the fundamental concepts of marketing, and people management, focusing on applications in the airline business. People are crucial in the marketing strategy and implementation, especially for the cooperation between Marketing and Engineering people.",,,[1-0-0:1],,,,
AESF 6950A,AESF 6950A - Aeronautical Independent Project (3 units),,,An independent research project on Aeronautical Engineering carried out under the supervision of a faculty member.,,,[3 credits],,,,
AESF 6950B,AESF 6950B - Aeronautical Independent Project (6 units),,,An independent research project on Aeronautical Engineering carried out under the supervision of a faculty member.,,,[6 credits],,,,
AESF 6950D,AESF 6950D - Aeronautical Independent Project (6 units),,,An independent research project on Aeronautical Engineering carried out under the supervision of a faculty member.,,,[6 credits],,,,
AIAA 6990,AIAA 6990 - MPhil Thesis Research (0 units),,,Master's thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,"On successful completion of the course, students will be able to:1.Design, develop and conduct cross-disciplinary research in Artificial Intelligence.2.Demonstrate practical skills in building AI systems.3.Communicate research findings effectively in written and oral presentations.",,
AIAA 7990,AIAA 7990 - Doctoral Thesis Research (0 units),,,Original and independent doctoral thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,"On successful completion of the course, students will be able to:1.Design, develop and conduct cross-disciplinary research in Artificial Intelligence.2.Critically apply theories, methodologies and knowledge to address fundamental questions in AI.3.Demonstrate practical skills in building AI systems.4.Communicate research findings effectively in written and oral presentations.",,
AMAT 7990,AMAT 7990 - Doctoral Thesis Research (0 units),,,Original and independent doctoral thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,"On successful completion of the course, students will be able to:1.Design, develop and conduct cross-disciplinary research in Advanced Materials.2.Communicate research findings effectively in written and oral presentations.3.Demonstrate mastery of knowledge in the chosen field of research.4.Synthesize and create original new knowledge.5.Make substantial original contributions to the field of study.",,
BIBU 1010,BIBU 1010 - Biotechnology and Business Seminar (1 unit),,,Study on selected current topics in biotechnology and business through attending seminars in related areas. This course provides a platform for students to interact and learn from different academic and practitioner leaders in both biotechnology and business fields. Graded P or F. For BIBU students only.,,,,,,,
BIBU 4830,BIBU 4830 - Biotechnology Management (3 units),,,"This course provides students with a general outlook of the roles and responsibilities in managing the biotech business. Business constraints like sales and marketing, partnerships, critical success factors in operations, market entry barriers, risk management and relationships with stakeholders will be covered in this course, with special focus on strategic development in the biotech business. Guest speakers will contribute their personal experience to offer a professional view of the key issues, pitfalls and opportunities in their daily business activity. A large use of case studies and other process management techniques will simulate potential scenarios in which students may be called to operate soon after they completed their university career. For BIBU students in their fourth year of study only.",,,,,,,
BIBU 4840,BIBU 4840 - Biotechnology and Business Capstone Project (3 units),,,"Under the supervision of faculty members, students in small groups will undertake a project to investigate selected topics relevant to the biotechnology industry and its business operations. The project will be delivered through the format of literature review. Course assessment will be based on studentsâ written report and oral presentation that documents the project work and learning experiences. For BIBU students with approval of the course instructor for enrollment in the course.",,,,,,,
BIBU 4850,BIBU 4850 - Biotechnology and Business Project Research (6 units),,,"This is a one-year course. With a one-on-one supervision by faculty member, students will undertake a research project of their choice in biotechnological innovation/ideas: design of experiments, analysis of data, submission of a business plan/proposal in order to commercialize the selected biotechnological innovation/ideas. Credit load will be spread over the year. For BIBU students with approval of the course instructor for enrolling in the course.",LIFS 3110,,,,,,
BIEN 1010,BIEN 1010 - Introduction to Biomedical Engineering (3 units),Common Core (S&T) for 36-credit program,,This course is designed as an introductory course in biomedical engineering. The aim of this course is to present some of the basic science and human physiology knowledge used by biomedical engineers and illustrates the first steps in applying this knowledge to solve problems in human medicine. The second goal of this course is to link knowledge of basic science and engineering to fields of specialization and current research. This course also introduces the sub-specialties in biomedical engineering and through real-life examples to emphasize the types of problems biomedical engineers solve.,,,,BIEN 2010,,,
BIEN 2410,BIEN 2410 - Cellular and Systems Physiology for Engineers (3 units),,LIFS 3040,"Essential cellular and systems physiology for engineers. Hierarchical organization of a complex organism: from organelles to organ systems. Cellular physiology, neurophysiology, vision, muscle and movement, and the cardiovascular system.",LIFS 1901 OR Level 3 or above in HKDSE 1x Biology,,,,,,
BIEN 3320,BIEN 3320 - Data Science for Biology and Medicine (3 units),,,"This is an introductory course for the application of data science in biology and medicine. The course will introduce the fundamental principles on data science, the technologies and implementations of data mining, as well as the modeling of several practical questions in biomedicine. The topics include introduction to biomedical data, data visualization, regression methods and classification methods.",{COMP 1021 OR [(COMP 1022P OR COMP 1022Q (prior to 2020-21) OR COMP 2011) AND COMP 1029P]} AND (LIFS 1901 OR level 3 or above in HKDSE 1x Biology),,,,,LIFS 4320,
BIEN 4920,BIEN 4920 - Bioengineering Capstone Design (6 units),,"BIEN 4930, BIEN 4940",A final-year project course offers practice of bioengineering design through a group design project chosen to integrate materials covered in the curriculum. Credit load may be spread over a year. May be graded PP. For students in the Bioengineering major only.,BIEN 3910,,,,,,
BIEN 4940,BIEN 4940 - Bioengineering Industrial Project (6 units),,"BIEN 4920, BIEN 4930",This course is intended to provide final-year bioengineering students with practical hands-on training in the form of a full-time or part-time internship or co-op program in a bioengineering company. Credit load may be spread over a year. May be graded PP. For students in the Bioengineering major with approval from the department only.,BIEN 3910,,,,,,
BIEN 4990,BIEN 4990 - Academic and Professional Development II (1 unit),,,"For final-year Bioengineering students. This course is designed to prepare students for the workplace, to instill in them a sense of professional responsibility, and to enhance their career management skills. Students are required to attend selected workshops and seminars by practicing bioengineers. Graded P or F.",BIEN 2990,,,,,,
BIEN 5010,BIEN 5010 - Molecular Biology for Bioengineering (3 units),,,"The course introduces the basics of cell biology, molecular biology techniques, and discusses the principles of macromolecular interactions in those contexts. We will also discuss various applications of these techniques and how combined with engineering concepts, they have contributed to innovations and breakthrough tools in the world of basic research and medicine. Topics to cover include: overview of basic molecular biology and macromolecular interactions; basic biophysical structures, imaging and characterization techniques; molecular engineering; biodevices; and genomics. Active student discussion is required and students will also do a final project team presentation on a current bioengineering topic.",,,[3-0-0:3],BIEN 501,"On successful completion of the course, students will be able to:1.Describe the central dogma of molecular biology, and be able to recall the various molecular components (molecules, proteins/enzymes) involved in the components of the central dogma. Describe their main physical features and select appropriate tools/techniques for characterizing them.2.Explain the mechanisms and functions of basic molecular biology assays, including PCR, qPCR, gel electrophoresis, molecular cloning, protein separation and purification; be able to analyze and interpret results of above assays.3.Compare different types of imaging tools, and describe their usage and importance in modern biotechnology/medicine.4.Explain what a stem cell is, and compare differences between embryonic stem cells, fetal stem cells, adult stem cells, and induced pluripotent cells; recall modern applications of stem cell therapies, and explain the mechanism of action for these therapies; describe current major challenges in using stem cell therapies in the clinic.5.Explain and critique recent breakthroughs in molecular biology and bioengineering fields, including those outside your research area; be able to suggest potential applications of these new technologies to a relevant clinical challenge.6.Present and discuss the taught ideas and concepts with peers with clarity and evidence-based reasoning; collaborate with team mates with positive attitude and strong work ethic in a group project setting.",,
BIEN 5820,BIEN 5820 - Microfluidics and Biosensors (3 units),,ELEC 5820,Introduction to Microfluidics and Biosensors; Overview of microfabrication materials & techniques; microfluidic principles; miniaturized biosensors; micro total analysis system (ÂµTAS) & lab-on-a-chip (LOC) for clinical and research applications.,,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Describe core concepts in the field of Microfluidics & Biosensors.2.Describe trends and motivations in the field of Microfluidics & Biosensors.3.Analyze/critique research articles in the field of Microfluidics & Biosensors.4.Formulate a potential solution for a clinical problem using Microfluidics & Biosensors.",ELEC 5820,
BIEN 6800X,BIEN 6800X - Bioengineering Seminar (0 units),,,"Seminar topics presented by students, faculty and guest speakers. Students are expected to attend regularly and demonstrate proficiency in their seminar presentation in accordance with the program requirements. Graded P or F.",,,[0-1-0:0],,,,
BIEN 6930D,BIEN 6930D - Synthetic Biology (3 units),,,"Synthetic biology is the science of applying the principles of computation and engineering to biological systems. It is based on the understanding that cells, genetic networks, signaling pathways and other biological phenomena interconnect in ways that allow adaptation to new circumstances. This adaptability can be exploited to solve real-world problems in industry, agriculture, and medicine. Synthetic biology brings together biology, biotechnology, computer science, electrical engineering, and mathematics to create useful genetic tools and platforms. It is also a strategy to help us understand basic biological regulatory mechanisms and complex genetic networks: by designing and building artificial ones, we learn how they work in nature (understanding by building). In this course, you will study the theoretical underpinnings of cutting-edge research in synthetic biology and learn how the development of disruptive technologies, combined with engineering principles, led to the emergence of this new scientific field. You will also learn how basic theory and knowledge of biology can guide the rational design of artificial biological circuits in living cells to accomplish well-defined goals. The goal of the course is to help you acquire essential techniques in synthetic biology, such as designing and constructing genetic parts, devices, modules, and systems, and develop new perspectives and skills that may help you in the future meet the demands of the biotech industry and academia.",,,[3-0-0:3],,,,
BIEN 6990,BIEN 6990 - MPhil Thesis Research (0 units),,,Master's thesis research supervised by a faculty member.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.,,,,BIEN 699,"On successful completion of the course, students will be able to:1.To demonstrate a capability to research and development work.2.To demonstrate the capability to create, analyse and critically evaluate different technical solutions.3.To demonstrate the capability to critically and systematically integrate knowledge.4.To demonstrate the capability to clearly present and discuss the conclusions as well as the knowledge and arguments that form the basis for these findings in written and spoken English.5.To demonstrate a consciousness of the ethical aspects of research and development work.",,
