Title,Link,Categories,Organizer,Location,Date,URL,Description,Start Date,End Date,Location Name,Location Country,Performer Name,Performer URL
Spotlight: Walter R. Kent's Road to Hong Kong,https://calendar.hkust.edu.hk/events/spotlight-walter-r-kents-road-hong-kong,"Exhibition, Fair",Organized by HKUST Library,"The Hong Kong Chiu Chow Chamber of Commerce Ko Pui Shuen Gallery, 1/F Library",4  May  2023 to 8  September  2023,https://calendar.hkust.edu.hk/events/spotlight-walter-r-kents-road-hong-kong,"This exhibition features selected items from the Walter R. Kent Collection. The late Mr. Walter R. Kent (1941 - 2016) was interested in maps and items relate to aviation; he collected maps, posters, and aircraft models through years. His maps reflect the traces of his life from his birthplace New York through Asia, eventually reaching Hong Kong as his home of retirement. In 2019, his collection was generously donated to the HKUST Library. This exhibition is made possible by the thoughtful contributions of his loyal friends and companions. 

Aeroplane models lead you to this exhibition at the Special Collections Gallery in the Library. “The Spotlights” encircle Mr. Kent’s love of cities and highlight the collection on two levels. On a personal level, it unfolds the becoming of a very private collection, characterized by city maps in his lifelong journey. On an academic level, the richness of his map collection adds value to the Special Collections at the HKUST Library. 

The maps, posters, objects, sound recordings and photos in this exhibition will give you a glimpse of an emotional trip through Asian cities and, at the same time, sketch how this very personal collection came into place and remains a vivid witness of its time. Very much appreciated are the voice recordings and objects of friends and companions throughout Mr. Kent’s life journey that enrich and contextualise the collection and his friendships.   ",2023-05-04,2023-09-08,"['The Hong Kong Chiu Chow Chamber of Commerce Ko Pui Shuen Gallery', '1/F Library']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Chun Wo Innovation Student Awards – Engineers for a Sustainable Tomorrow,https://calendar.hkust.edu.hk/events/chun-wo-innovation-student-awards-engineers-sustainable-tomorrow,Competition,Promoted by HKUST Energy Institute on behalf of Chun Wo Development Holdings Limited,,11  November  2022 to 12  July  2023,https://calendar.hkust.edu.hk/events/chun-wo-innovation-student-awards-engineers-sustainable-tomorrow,"Description:

The Chun Wo Innovation Student Awards (CWISA) is an initiative that aims to encourage university students from all disciplines to use an engineering approach to address challenges revolving around urban infrastructure, technology, and social development. These pillars are crucial in determining the future transformation of a city as well as people’s livelihood.

Eligibility

The Award is open to all full-time undergraduate and post-graduate students from any of the tertiary education institutions in Hong Kong and the Greater Bay Area (GBA).
	Students are encouraged to form groups with a maximum of 8 members (at least one student studying in engineering related faculties).
Event website: https://www.cwisa.com",2022-11-11,2023-07-12,,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
James Dyson Award 2023,https://calendar.hkust.edu.hk/events/james-dyson-award-2023,Competition,Promoted by Center for Global & Community Engagement on behalf of The James Dyson Award,,17  March  2023 to 19  July  2023,https://calendar.hkust.edu.hk/events/james-dyson-award-2023,"The 2023 James Dyson Award is now open for entries, calling for creative inventors in Hong Kong to submit an invention that solves a problem! 

The James Dyson Award is an international design competition running by the James Dyson Foundation – an engineering-education charity funded by Dyson profits. The Award holds annually with a simple brief of designing something that solves a problem. This problem may be a frustration that we all face in daily life, or a global issue. The important thing is that the solution is effective and demonstrates considered design thinking.
 ",2023-03-17,2023-07-19,,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
IoT Thrust Seminar | Human-Cyber-Physics Synergy: From Human-Centered Computing to Human-Machine Collaboration,https://calendar.hkust.edu.hk/events/iot-thrust-seminar-human-cyber-physics-synergy-human-centered-computing-human-machine,"Seminar, Lecture, Talk","Promoted by Information Hub, HKUST(GZ) on behalf of Internet of Things Thrust, HKUST(GZ)",E3 202,16  May  2023,https://calendar.hkust.edu.hk/events/iot-thrust-seminar-human-cyber-physics-synergy-human-centered-computing-human-machine,"Ubiquitous intelligence, which refers to the seamless integration of various intelligent systems into everyday life, encompasses three key components: human space, cyberspace, and physical space. Human space represents human cognition, intention, and knowledge, cyberspace consists of automated algorithms and models, and physical space is made up of devices, sensors, and actuators that serve as the interface bridging the digital and physical realms. This talk will present previous research efforts to examine the ecosystem of ubiquitous intelligence from multiple perspectives to identify challenges and gaps in the interactions between these spaces and promote their interconnection. Furthermore, this talk will discuss key challenges and potential technologies to promote a paradigm of collaborative, efficient, and secure construction of ubiquitous intelligence for future research, considering ubiquitous intelligence continues to permeate everyday scenarios, vital infrastructure, and pivotal vertical industries.",2023-05-16,2023-05-16,E3 202,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Department of Mathematics - Seminar on Statistics - Constraint varying-coefficient models with applications to agri-environmental research,https://calendar.hkust.edu.hk/events/department-mathematics-seminar-statistics-constraint-varying-coefficient-models-applications,"Seminar, Lecture, Talk",Organized by Department of Mathematics,Room 1409 (Lifts 25/26),17  May  2023,https://calendar.hkust.edu.hk/events/department-mathematics-seminar-statistics-constraint-varying-coefficient-models-applications,"Functional-coefficient models with a periodic component are proposed for short-term streamflow forecasting. Traditionally, analyses are conducted for anomaly data after removing an annual pattern or detrending the data after data differencing. Alternatively, periodic models establish separate models for individual seasons. However, the setting of periodic models cannot guarantee the smoothness in model coefficients which is necessary when the time scale is small (for example, daily). In this talk, we propose the use of functional-coefficient models with a periodic component, which extend the periodic regression for short-term forecasting. Unlike the traditional functional-coefficient models which extend the threshold regression model, our functional-coefficient model with a periodic component enjoys an invariance property under data differencing. As case studies, the models are applied to Australian streamflows. The proposed idea can be applied to statistical trend analysis which considers data dependence, and to regression for canopy temperature prediction using ambient variables.",2023-05-17,2023-05-17,Room 1409 (Lifts 25/26),HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Smart microtextiles – from bioinspired sensing to biointerfacing electronics,https://calendar.hkust.edu.hk/events/smart-microtextiles-bioinspired-sensing-biointerfacing-electronics,"Seminar, Lecture, Talk","Organized by Systems Hub, HKUST(GZ)",Zoom ID: 933 9104 4020  Passcode: 034294,17  May  2023,https://calendar.hkust.edu.hk/events/smart-microtextiles-bioinspired-sensing-biointerfacing-electronics,"ABSTRACT

Bringing sensing and augmentation functions to the intimate surfaces of biological systems underpins technological advances in precision health, biology-machine interactions, and basic scientific discoveries. Contemporary wearable and on-skin sensing devices, produced by centralized mass manufacturing, are usually standardized, rigid, and invariable; they are intrinsically incompatible with the diversity, delicacy, and dynamism of living systems. Fibers and textiles are flexible and breathable, making them ideal for long-term skin-contacting purposes. I developed additive manufacturing approaches to synthesis microfibers and assemble into wearable and bio-interfacing devices in the format of microtextiles. With the fully printed organic and soft sensors, I have explored applications from remote healthcare, environmental detection, to adaptive wearables. In the future, I propose to explore adaptive and sustainable fabrication routes to produce user-centric wearable and implantable devices. In doing so, my research will unleash emerging possibilities to foster information exchange and augmentation for biological systems, without perturbing their normal physiological functions.",2023-05-17,2023-05-17,Zoom ID: 933 9104 4020  Passcode: 034294,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
ECE Seminar: Photonic Switching Network and Enabling Technologies,https://calendar.hkust.edu.hk/events/ece-seminar-photonic-switching-network-and-enabling-technologies,"Seminar, Lecture, Talk",Organized by Department of Electronic & Computer Engineering,"ECE meeting room 2515-2516 (2/F via lifts 25/26), Academic Building, HKUST",17  May  2023,https://calendar.hkust.edu.hk/events/ece-seminar-photonic-switching-network-and-enabling-technologies,"Photonic switching and high-speed system construct the most important elements of today’s broadband optical communication network. This talk will mainly address photonic switching technologies including wavelength switching (ROADM/WSS) and sub-wavelength switching (burst switching and ultra-dense wavelength switching). High-speed system and optical monitoring are essential for photonic network and will also be discussed. In addition, the related photonic technologies are also applicable in areas of 5G/6G network, data and computing network, and advanced display.",2023-05-17,2023-05-17,"['ECE meeting room 2515-2516 (2/F via lifts 25/26)', 'Academic Building', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Challenges and Opportunities of All Solid-State Batteries,https://calendar.hkust.edu.hk/events/challenges-and-opportunities-all-solid-state-batteries,"Conference, Symposium, Forum, Seminar, Lecture, Talk",Organized by HKUST Energy Institute; Department of Chemical & Biological Engineering,"Room 1410 (Near LT-F, Lifts 25-26)",17  May  2023,https://calendar.hkust.edu.hk/events/challenges-and-opportunities-all-solid-state-batteries,"All-state-state lithium batteries (ASSLBs) have gained worldwide attention because of the high ionic conductivity of SEs, intrinsic safety and increased energy density. In ASSLBs, solid-state electrolyte is a key component and interface is a big challenge. In this talk, I will talk about two types of solid-state electrolytes including sulfide-based electrolyte (focusing on interface) and halide-based electrolytes (focusing on synthesis and increase of ionic conductivity). 

In the first part of this talk, I will demonstrate to apply atomic layer deposition/molecular layer deposition (ALD/MLD) for interface design between sulfide-based electrolyte and cathode material. Compared with polymer-based and oxide-based electrolytes, sulfide-based electrolyte generally exhibits the highest ionic conductivity (10-3 ~ 10-2 S/cm) and favorable mechanical property. However, the serious interfacial challenge, bad air stability, narrow electrochemical windows of sulfide-based electrolyte significantly impede development of sulfide-based ASSLBs . Generally, an artificial, uniform and ultrathin interfacial layer is critical to address these challenges. ALD) and MLD are unique coating techniques that can realize excellent coverage and conformal deposition with precisely controllable at the nanoscale level due to its self-limiting nature, which are ideal for addressing the challenges of interface in SSLBs. 

In the second part of this talk, I will talk about halide-based electrolyte for ASSLBs. Compared with sulfide-based electrolyte, both experimental and theoretical results recently demonstrate that halide-based electrolytes have more advantages including high RT ionic conductivity (>10-3 S cm-1, theoretically possible 10-2 S cm-1), wide electrochemically stable window (possible up to 6 V), high air-stability, good stability toward oxide cathode materials, and even salable water synthesis strategy.",2023-05-17,2023-05-17,"['Room 1410 (Near LT-F', 'Lifts 25-26)']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Economics Webinar  - The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,https://calendar.hkust.edu.hk/events/economics-webinar-benefits-and-costs-guest-worker-programs-experimental-evidence-india-uae,"Seminar, Lecture, Talk",Organized by Department of Economics,Online via Zoom,17  May  2023,https://calendar.hkust.edu.hk/events/economics-webinar-benefits-and-costs-guest-worker-programs-experimental-evidence-india-uae,"We estimate the returns to temporary migration programs using a randomized control trial with several thousand job seekers in India applying to guest worker jobs in the United Arab Emirates (UAE). Working with construction companies and the UAE Ministry of Labor, we randomized job offers to potential migrant workers at recruitment sites. We measured effects on labor market outcomes, well-being, social relationships, and work satisfaction, as well as on labor intermediation costs, assets and debt. We find that workers who received the randomized offer experienced 30% higher earnings, and migrating to the UAE doubled their compensation. However, they also paid substantial upfront costs to labor intermediaries, financed by additional debt, that reduces take-home pay by up to 10%. Workers offered a UAE job also experienced more diverse friendship and co-worker networks, but also report a significant fall in subjective well-being. This is consistent with the large share of workers offered jobs that do not migrate to the UAE. Extrapolating using a linear marginal treatment effects framework, we find large and positive pecuniary returns to migration for workers offered a UAE job who decline, as well as significant non-pecuniary costs, which help rationalize the lack of take-up.",2023-05-17,2023-05-17,Online via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Economics Webinar  - The Effect of Vertical Identification Card Laws on Teenage Tobacco and Alcohol Use,https://calendar.hkust.edu.hk/events/economics-webinar-effect-vertical-identification-card-laws-teenage-tobacco-and-alcohol-use,"Seminar, Lecture, Talk",Organized by Department of Economics,Online via Zoom,17  May  2023,https://calendar.hkust.edu.hk/events/economics-webinar-effect-vertical-identification-card-laws-teenage-tobacco-and-alcohol-use,"We study the impact of vertical identification card laws, which changed the orientation of driver’s licenses and state identification cards from horizontal to vertical for those under 21 years, on teenage tobacco and alcohol use. We study this question using four national datasets (pooled national and state Youth Risk Behavior Surveillance System, National Youth Tobacco Survey, Current Population Survey to Tobacco Use Supplements, and Behavioral Risk Factor Surveillance System). We improve previous databases of vertical ID law implementation by using original archival research to identify the exact date of the law change. We estimate models using standard two-way fixed effects and stacked difference-in-differences that avoid bias from dynamic and heterogeneous treatment effects. Using data through 2019, we find little evidence of reductions in teenage tobacco and alcohol use. While these laws reduce retail-based purchasing, they also increase social sourcing, thus leading to no net impact on use.",2023-05-17,2023-05-17,Online via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
